"VanBanGoc","TenTask","LoaiTask","DoKho"
"Kiểm tra thường xuyên môn Sinh học đại cương thứ 4 này, ôn chương tế bào và di truyền.","Kiểm tra sinh học đại","KiemTraThuongXuyen","3"
"Nhóm mình còn nợ phần kết quả thực nghiệm báo cáo đồ án, nộp thứ 6 tuần tới nha.","Bo co đồ n","DuAn","3"
"Thầy ra bài tập phần hàm số mũ và logarit môn Toán B1, hạn nộp thứ 3.","Bài tập ton b1","BaiTap","3"
"Thi giữa kỳ môn Lý thuyết đồ thị vào cuối tuần 9, trọng tâm phần BFS và DFS.","Thi giữa kỳ lý thuyết","ThiCuoiKy","3"
"Tiểu luận môn Triết học Mác - Lênin nộp tuần 13, đề tài về biện chứng duy vật.","Tiểu luận triết học mc","DuAn","3"
"Bài tập phần lập trình socket môn Lập trình mạng nộp thứ 4, làm cả client và server.","Bài tập lập trình mạng","BaiTap","3"
"Cô thông báo kiểm tra 1 tiết môn Kỹ năng thuyết trình tuần 7, mỗi bạn nói 3 phút về chủ đề tự chọn.","Kiểm tra kỹ năng thuyết","KiemTraThuongXuyen","3"
"Bài tập về nhà môn Điện tử cơ bản làm mạch chỉnh lưu, nộp kèm báo cáo vào thứ 6.","Bài tập điện tử cơ","BaiTap","3"
"Đồ án môn Trí tuệ nhân tạo nhóm mình chọn đề tài nhận diện khuôn mặt, hạn cuối tuần 15.","Đồ n trí tuệ nhân","DuAn","3"
"Thứ 3 tuần sau kiểm tra 1 tiết môn Hóa phân tích, ôn kỹ phương pháp chuẩn độ.","Kiểm tra hóa phân tích","KiemTraThuongXuyen","3"
"Nhóm tụi mình làm báo cáo môn Xã hội học, phần khảo sát phải có ít nhất 50 mẫu.","Bo co xã hội học","DuAn","3"
"Bài tập lớn môn Nguyên lý máy tính phải nộp tuần 12, thầy yêu cầu mô phỏng pipeline.","Bài tập lớn nguyên lý","BaiTap","3"
"Tiểu luận môn Lịch sử Đảng hạn nộp ngày 25, viết về giai đoạn 1930-1945.","Tiểu luận lịch sử đảng","DuAn","3"
"Thứ 6 này thuyết trình nhóm môn Quản lý dự án, mình làm phần lập WBS đó.","Thuyết trình quản lý dự","DuAn","3"
"Bài tập thực hành môn Vi điều khiển tuần này lập trình LED nhấp nháy, nộp file code thứ 4.","Bài tập vi điều khiển","BaiTap","3"
"Kiểm tra 15 phút môn Cơ học kỹ thuật đầu giờ thứ 5, ôn phần tĩnh học cân bằng.","Kiểm tra cơ học kỹ","KiemTraThuongXuyen","3"
"Kiểm tra 1 tiết môn Vật lý 2 thứ 4 tuần sau, ôn kỹ phần điện từ trường nha.","Kiểm tra vật lý 2","KiemTraThuongXuyen","3"
"Bài tập nhóm môn Kinh tế lượng nộp thứ 6, chạy hồi quy OLS bằng STATA hoặc R.","Bài tập nhóm kinh tế","BaiTap","3"
"Thầy yêu cầu nộp báo cáo thực hành môn Vẽ kỹ thuật bằng AutoCAD trước 8h thứ 5.","Bo co thực hành vẽ","DuAn","3"
"Thi cuối kỳ môn Nhập môn AI ngày 22, ôn phần thuật toán tìm kiếm và học máy cơ bản.","Thi cuối kỳ nhập môn","ThiCuoiKy","3"
"Bài tập lớn môn Thiết kế web nộp tuần 14, làm responsive hoàn chỉnh có cả backend.","Bài tập lớn thiết kế","ThiCuoiKy","3"
"Thứ 4 này cô gọi lên bảng kiểm tra bài môn Đại số tuyến tính, ôn phần không gian vectơ.","Kiểm tra đại số tuyến","KiemTraThuongXuyen","3"
"Nhóm mình bảo vệ đồ án môn Hệ thống nhúng vào thứ 6 tuần 16, demo phần cứng trực tiếp.","Đồ n hệ thống nhúng","DuAn","3"
"toi nay nop btl roi ma chua lam gi het, chet","Bài tập lớn (không rõ","BaiTap","3"
"ơ khum ai nhắc mình kiemtra giải tích thứ mấy vậy","Kiểm tra giải tích","Khac","3"
"bài tậpp vật lí chương 3 nộp thứ mấy z mn","Bài tập vật lý","BaiTap","3"
"thầy bảo lm tiểu luạn nộp trc 20 mà mk chưa chọn đề :((","Tiểu luận (không rõ môn)","Khac","3"
"anh ơi btl nhom minh lam xog chua, mai nop roi","Bài tập lớn nhóm","BaiTap","3"
"ths dạy khó wá, bài thực hành lần 3 làm không hiểu gì luôn, deadline cuoi tuan","Bài thực hành lần 3","OnTap","5"
"thi cuoi ky mon nao do thang nay khó lắm nghe mn","Thi cuối kỳ (không rõ","ThiCuoiKy","5"
"bài tập chương 4 giải tích mk ko hiểu gì hết, nộp t4 mà","Bài tập giải tích","BaiTap","3"
"ê mấy đứa bài kiểm tra thường xuyên hóa tuần sau đúng k, khó k mn","Kiểm tra hóa","KiemTraThuongXuyen","5"
"deadline đồ án sắp tới mà nhóm chưa họp lần nào, stress vcl","Đồ n (không rõ môn)","DuAn","3"
"btl marketing nhóm 5 mai nộp ai chưa làm mau lên","Bài tập lớn marketing","BaiTap","3"
"cô cho bài tập về nhà mon ktvm nhưng mình ghi ko kịp đề, ai chụp giúp mình với","Bài tập kinh tế vi","KiemTraThuongXuyen","3"
"thứ mấy thi lai mon ly vay, mk rớt môn này rồi","Thi lại vật lý","ThiCuoiKy","5"
"nộp báo cao thực hành t5 hay t6 vậy mấy bạn, thầy nói mk không nghe","Bo co thực hành","OnTap","3"
"ôi trời kiểm tra 1 tiết mà học hok vô gì hết, chắc chớt rồi","Kiểm tra 1 tiết (không","KiemTraThuongXuyen","3"
"ai trong nhom 3 lam bai tap nlm chua, mai phai nop r","Bài tập nhóm","Khac","3"
"bài nộp hôm nay hay mai z, mk confuse lắm","Bài nộp (không rõ môn)","Khac","3"
"thi gk mon gi do thang 11 mà mk quên mất tiêu, ai nhớ không","Thi giữa kỳ (không rõ","ThiCuoiKy","3"
"ôi trời ơi nộp bài rồi mà thầy bảo sai định dạng, làm lại từ đầu không khóc được","Bài nộp lại (không rõ","OnTap","5"
"mn ơi ai có đề cương ktck mon cnpm không share mình với","Thi cuối kỳ cnpm","ThiCuoiKy","3"
"thực hành buổi 4 làm cái gì vậy, mk nghỉ buổi đó không biết gì luôn","Bài thực hành buổi 4","OnTap","3"
"mấy đứa ơi bài thuyết trình nhóm mk lm slide chưa, sao chưa thấy ai làm gì hết","Thuyết trình nhóm","DuAn","3"
"thầy ra tiểu luân cái gì đó mk ghi ko kịp, ai chụp hình cho mk với","Tiểu luận (không rõ môn)","Khac","3"
"bài tập giải tích mk ko hiểu đề gì luôn, nộp t3","Bài tập giải tích","BaiTap","3"
"nộp baoo cáo thực hành hóa buổi 2 roi ma mk chưa viết phần kết luận, ngày mai nộp","Bo co thực hành hóa","Khac","3"
"bài lab lập trình mạng tuần này mk chưa hiểu gì, deadline thứ 5","Bài lab lập trình mạng","BaiTap","3"
"làm bài tập ktvm sao kho wá, chắc chớt mất","Bài tập kinh tế vi","KiemTraThuongXuyen","3"
"thứ mấy thuyết trình nhóm mình vậy, mk lú lẫm hết rồi","Thuyết trình nhóm","DuAn","3"
"bài tiểu luận mình viết đc 300 chữ mà còn 1200 chữ nữa, mai nộp khóc thôi","Tiểu luận","DuAn","5"
"kiểm tra 1 tiết hóa thứ 6 hay thứ 7 vậy mấy bạn ơi","Kiểm tra hóa","KiemTraThuongXuyen","3"
"ai làm đồ án chưa, nhóm mình chưa bắt đầu gì luôn mà hạn tuần sau rồi","Đồ n","DuAn","3"
"Thầy dạy chán quá, buồn ngủ không chịu được.","Nhiệm vụ học tập","OnTap","3"
"Mấy đứa ơi tối nay đi uống trà sữa không?","Nhiệm vụ học tập","OnTap","3"
"Trời ơi sao hôm nay nóng kinh khủng vậy, học không vô gì hết.","Nhiệm vụ học tập","OnTap","3"
"Căng tin hôm nay bán cơm gì vậy mấy bạn?","Nhiệm vụ học tập","Khac","3"
"Ủa hôm nay lớp mình có học không hay thầy nghỉ rồi?","Nhiệm vụ học tập","OnTap","3"
"Mày có xem phim gì hay không, tao rảnh quá.","Nhiệm vụ học tập","OnTap","3"
"Sao trường mình wifi chậm thế này, không chịu được luôn.","Nhiệm vụ học tập","OnTap","3"
"Ê đứa nào muốn đi karaoke tối thứ 6 không?","Nhiệm vụ học tập","OnTap","3"
"Cuộc sống sinh viên sao khổ quá, chán chường vcl.","Nhiệm vụ học tập","Khac","3"
"Chị ơi, em chưa làm xong bài assignment tuần này, deadline là 10h tối nay 😅",", lm xong bi","BaiTap","3"
"Bài project lớn này khó quá, ai giúp mình với, nộp vào thứ 6 tuần sau","Bi project lớn ny","DuAn","5"
"Em chưa hiểu bài quiz tuần này, có ai giải thích giúp em không?","Hiểu bi quiz tuần","KiemTraThuongXuyen","3"
"Bài presentation nhóm mình làm đến đâu rồi?","Bi presentation lm đến","Khac","3"
"Chị ơi, em nộp bài report vào 20/10 được không ạ?",", em nộp bi","OnTap","3"
"Bài tập này khó quá, có ai làm xong chưa?","Bi tập ny khó","BaiTap","5"
"Mình cần help với bài coding, deadline là 2 ngày nữa","Mình cần help với","Khac","3"
"Bài discussion forum tuần này mình làm gì vậy ạ?","Bi discussion forum tuần","Khac","3"
"Em chưa làm bài homework, ai gửi file cho em với, deadline là tối nay 23h59","Lm bi homework, ai","Khac","3"
"Chj ơi, e chưa làm xong bài assingment tuần này, deadline là 10h tối nay 😅","Chj , e chưa","Khac","3"
"Bai project lớn này khó quá, ai giúp mình với, nộp vào thứ 6 tuần sau","Bai project lớn ny","DuAn","5"
"E k hiểu bài quiz tuần này, có ai giải thích giúp e không?","E k hiểu bi","KiemTraThuongXuyen","3"
"Deadline bài essay là mai rùi, mà mình vẫn chưa viết xong 😓","Deadline bi essay l","Khac","3"
"Bài prezentasion nhóm mình làm đến đâu rồi?","Bi prezentasion lm đến","Khac","3"
"Chị ơi, e nộp bài report vào 20/10 đc k ạ?",", e nộp bi","Khac","3"
"Bai tap này khó quá, có ai làm xong chưa?","Bai tap ny khó","Khac","5"
"Mình cần help với bài codding, deadline là 2 ngày nữa","Mình cần help với","Khac","3"
"Bài discusion forum tuần này mình làm gì vậy ạ?","Bi discusion forum tuần","Khac","3"
"E chưa làm bài homwork, ai gửi file cho e với, deadline là tối nay 23h59","E chưa lm bi","Khac","3"
"Chị ơi, em chưa làm xong bài assignment tuần này, deadline là 10h tối nay, mà em đang bị đau đầu 😅, giúp em với",", lm xong bi","BaiTap","3"
"Bài project lớn này khó quá, ai giúp mình với, nộp vào thứ 6 tuần sau, mình đang bận quá","Bi project lớn ny","DuAn","5"
"Em chưa hiểu bài quiz tuần này, có ai giải thích giúp em không, em hỏi nhiều lần rồi","Hiểu bi quiz tuần","KiemTraThuongXuyen","3"
"Deadline bài essay là mai rồi, mà mình vẫn chưa viết xong, mình đang xem phim 😓","Deadline bi essay l","Khac","3"
"Bài presentation nhóm mình làm đến đâu rồi, có cần thêm gì không?","Bi presentation lm đến","OnTap","3"
"Chị ơi, em nộp bài report vào 20/10 được không ạ, em đang cần gấp",", em nộp bi","OnTap","5"
"Bài tập này khó quá, có ai làm xong chưa, mình cần tham khảo","Bi tập ny khó","BaiTap","5"
"Mình cần help với bài coding, deadline là 2 ngày nữa, mình đang bận làm việc khác","Mình cần help với","Khac","3"
"Bài discussion forum tuần này mình làm gì vậy ạ, em không hiểu","Bi discussion forum tuần","OnTap","3"
"Em chưa làm bài homework, ai gửi file cho em với, deadline là tối nay 23h59, em cảm ơn","Lm bi homework, ai","Khac","3"
"chị ơi e chưa làm xong bài ass này 😅","E chưa lm xong","Khac","3"
"e k hiểu quiz tuần này 😐","E k hiểu quiz","KiemTraThuongXuyen","3"
"essay mai rồi 😱","Essay mai 😱","Khac","3"
"Em chưa làm xong bài tập, deadline là mai 😅","Lm xong bi tập,","BaiTap","3"
"chj ơi e nộp bài muộn đc k ạ","Chj e nộp bi","Khac","3"
"Bài này khó quá, ai giúp mình với, mình đang bận 😓","Bi ny khó qu,","Khac","5"
"Chị ơi, em chưa hiểu bài quiz",", hiểu bi quiz","KiemTraThuongXuyen","3"
"e k hiểu phần này, giải thích giúp e","E k hiểu phần","Khac","3"
"Chị ơi, em chưa làm xong bài assignment tuần này, deadline là 10h tối mai 😅",", lm xong bi","BaiTap","3"
"Chj ơi, e chưa làm xong bài assingment tuần này, deadline là 10h tối mai 😅","Chj , e chưa","Khac","3"
"Chị ơi, em chưa làm xong bài assignment tuần này, deadline là 10h tối mai, mà em đang bị đau đầu 😅, giúp em với",", lm xong bi","BaiTap","3"
"boi tập Lập trenh về nho tuần noy doi ngoằng","Bài tập lập trình","BaiTap","4"
"ai làm xong assignment Kỹ năng mềm chưa cho t copy tẹo =))","Assignment kỹ năng mềm","BaiTap","3"
"assignment Kỹ năng mềm về nhà tuần này dài ngoằng","Bài tập kỹ năng mềm","BaiTap","4"
"ai lom xong assignment Cd sở dữ liệu chưa cho t copy tẹo =))","Assignment cơ sở dữ liệu","BaiTap","3"
"boi tập Lập trenh về nho tuần noy doi ngoằng","Bài tập lập trình","BaiTap","4"
"bài tập Lập trình về nhà tuần này dài ngoằng 🔥","Bài tập lập trình","BaiTap","4"
"ai làm xong assignment Cơ sở dữ liệu chưa cho t copy tẹo =)) 😂","Assignment cơ sở dữ liệu","BaiTap","3"
"ai làm xong assignment Hóa chưa cho t copy tẹo =)) 😂","Assignment hóa","BaiTap","3"
"ai làm xong assignment Kỹ năng mềm chưa cho t copy tẹo =))","Assignment kỹ năng mềm","BaiTap","3"
"ai làm xong assignment Toán chưa cho t copy tẹo =))","Assignment ton","BaiTap","3"
"bài tập Kỹ năng mềm về nhà tuần này dài ngoằng","Bài tập kỹ năng mềm","BaiTap","4"
"bài tập Kỹ năng mềm về nhà tuần này dài ngoằng hz","Bài tập kỹ năng mềm","BaiTap","4"
"ai làm xong assignment Kỹ năng mềm chưa cho t copy tẹo =))","Assignment kỹ năng mềm","BaiTap","3"
"ai làm xong assignment Lập trình chưa cho t copy tẹo =))","Assignment lập trình","BaiTap","3"
"bài tập Cơ sở dữ liệu về nhà tuần này dài ngoằng 😂","Bài tập cơ sở dữ","BaiTap","4"
"bài tập Mạng máy tính về nhà tuần này dài ngoằng","Bài tập mạng my tính","BaiTap","4"
"bài tập Toán về nhà tuần này dài ngoằng zz","Bài tập ton","BaiTap","4"
"bài tập Cơ sở dữ liệu về nhà tuần này dài ngoằng 🔥","Bài tập cơ sở dữ","BaiTap","4"
"ai làm xong assignment Mạng máy tính chưa cho t copy tẹo =))","Assignment mạng my tính","BaiTap","3"
"ai làm xong assignment Hóa chưa cho t copy tẹo =))","Assignment hóa","BaiTap","3"
"ai làm xong assignment Kỹ năng mềm chưa cho t copy tẹo =))","Assignment kỹ năng mềm","BaiTap","3"
"ai làm xong assignment Lập trình chưa cho t copy tẹo =)) 🔥","Assignment lập trình","BaiTap","3"
"bài tập Lý về nhà tuần này dài ngoằng 😭","Bài tập lý","BaiTap","4"
"ai làm xong assignment Lập trình chưa cho t copy tẹo =)) hz","Assignment lập trình","BaiTap","3"
"assignment Lý về nhà tuần này dài ngoằng","Bài tập lý","BaiTap","4"
"bài tập Mạng máy tính về nhà tuần này dài ngoằng vkl","Bài tập mạng my tính","BaiTap","4"
"assignment Lý về nhà tuần này dài ngoằng","Bài tập lý","BaiTap","4"
"ai làm xong assignment Cơ sở dữ liệu chưa cho t copy tẹo =))","Assignment cơ sở dữ liệu","BaiTap","3"
"bài tập Cơ sở dữ liệu về nhà tuần này dài ngoằng","Bài tập cơ sở dữ","BaiTap","4"
"boi tập Lập trenh về nho tuần noy doi ngoằng","Bài tập lập trình","BaiTap","4"
"ai làm xong assignment Toán chưa cho t copy tẹo =)) 👍","Assignment ton","BaiTap","3"
"bài tập Hóa về nhà tuần này dài ngoằng hz","Bài tập hóa","BaiTap","4"
"boi tập Triết về nho tuần noy doi ngoằng","Bài tập triết","BaiTap","4"
"ai làm xong assignment Mạng máy tính chưa cho t copy tẹo =)) 😂","Assignment mạng my tính","BaiTap","3"
"bài tập Triết về nhà tuần này dài ngoằng 😂","Bài tập triết","BaiTap","4"
"ai làm xong assignment Triết chưa cho t copy tẹo =)) hz","Assignment triết","BaiTap","3"
"boi tập Lập trenh về nho tuần noy doi ngoằng","Bài tập lập trình","BaiTap","4"
"assignment Kỹ năng mềm về nhà tuần này dài ngoằng","Bài tập kỹ năng mềm","BaiTap","4"
"boi tập Lập trenh về nho tuần noy doi ngoằng","Bài tập lập trình","BaiTap","4"
"ai làm xong assignment Mạng máy tính chưa cho t copy tẹo =))","Assignment mạng my tính","BaiTap","3"
"ai làm xong assignment Triết chưa cho t copy tẹo =)) 😂","Assignment triết","BaiTap","3"
"ai làm xong assignment Cơ sở dữ liệu chưa cho t copy tẹo =)) vkl","Assignment cơ sở dữ liệu","BaiTap","3"
"bài tập Triết về nhà tuần này dài ngoằng","Bài tập triết","BaiTap","4"
"ai làm xong assignment Toán chưa cho t copy tẹo =))","Assignment ton","BaiTap","3"
"bài tập Toán về nhà tuần này dài ngoằng 👍","Bài tập ton","BaiTap","4"
"bài tập Toán về nhà tuần này dài ngoằng 👍","Bài tập ton","BaiTap","4"
"assignment Triết về nhà tuần này dài ngoằng","Bài tập triết","BaiTap","4"
"ai làm xong assignment Triết chưa cho t copy tẹo =))","Assignment triết","BaiTap","3"
"bài tập Lập trình về nhà tuần này dài ngoằng","Bài tập lập trình","BaiTap","4"
"bài tập Kỹ năng mềm về nhà tuần này dài ngoằng","Bài tập kỹ năng mềm","BaiTap","4"
"bài tập Hóa về nhà tuần này dài ngoằng","Bài tập hóa","BaiTap","4"
"ai làm xong assignment Hóa chưa cho t copy tẹo =))","Assignment hóa","BaiTap","3"
"bài tập Hóa về nhà tuần này dài ngoằng 👍","Bài tập hóa","BaiTap","4"
"bài tập Triết về nhà tuần này dài ngoằng","Bài tập triết","BaiTap","4"
"ai làm xong assignment Hóa chưa cho t copy tẹo =))","Assignment hóa","BaiTap","3"
"ai làm xong assignment Mạng máy tính chưa cho t copy tẹo =))","Assignment mạng my tính","BaiTap","3"
"ai lom xong assignment Cd sở dữ liệu chưa cho t copy tẹo =))","Assignment cơ sở dữ liệu","BaiTap","3"
"ai làm xong assignment Lý chưa cho t copy tẹo =))","Assignment lý","BaiTap","3"
"bài tập Lý về nhà tuần này dài ngoằng","Bài tập lý","BaiTap","4"
"bài tập Toán về nhà tuần này dài ngoằng zz","Bài tập ton","BaiTap","4"
"bài tập Kỹ năng mềm về nhà tuần này dài ngoằng 😂","Bài tập kỹ năng mềm","BaiTap","4"
"ai làm xong assignment Cơ sở dữ liệu chưa cho t copy tẹo =)) 👍","Assignment cơ sở dữ liệu","BaiTap","3"
"ai làm xong assignment Kỹ năng mềm chưa cho t copy tẹo =))","Assignment kỹ năng mềm","BaiTap","3"
"bài tập Kỹ năng mềm về nhà tuần này dài ngoằng vkl","Bài tập kỹ năng mềm","BaiTap","4"
"ai làm xong assignment Triết chưa cho t copy tẹo =)) ak","Assignment triết","BaiTap","3"
"bài tập Toán về nhà tuần này dài ngoằng","Bài tập ton","BaiTap","4"
"ai làm xong assignment Toán chưa cho t copy tẹo =)) zz","Assignment ton","BaiTap","3"
"boi tập Lập trenh về nho tuần noy doi ngoằng","Bài tập lập trình","BaiTap","4"
"bài tập Hóa về nhà tuần này dài ngoằng","Bài tập hóa","BaiTap","4"
"bài tập Lập trình về nhà tuần này dài ngoằng","Bài tập lập trình","BaiTap","4"
"ai làm xong assignment Lập trình chưa cho t copy tẹo =))","Assignment lập trình","BaiTap","3"
"bài tập Triết về nhà tuần này dài ngoằng","Bài tập triết","BaiTap","4"
"boi tập Mạng may tinh về nho tuần noy doi ngoằng","Bài tập mạng my tính","BaiTap","4"
"bài tập Kỹ năng mềm về nhà tuần này dài ngoằng 😂","Bài tập kỹ năng mềm","BaiTap","4"
"boi tập Mạng may tinh về nho tuần noy doi ngoằng","Bài tập mạng my tính","BaiTap","4"
"ai lom xong assignment Hoa chưa cho t copy tẹo =))","Assignment hóa","BaiTap","3"
"boi tập Hoa về nho tuần noy doi ngoằng","Bài tập hóa","BaiTap","4"
"ai lom xong assignment Mạng may tinh chưa cho t copy tẹo =))","Assignment mạng my tính","BaiTap","3"
"boi tập Lu về nho tuần noy doi ngoằng","Bài tập lý","BaiTap","4"
"bài tập Lập trình về nhà tuần này dài ngoằng","Bài tập lập trình","BaiTap","4"
"ai làm xong assignment Triết chưa cho t copy tẹo =)) ak","Assignment triết","BaiTap","3"
"ai làm xong assignment Kỹ năng mềm chưa cho t copy tẹo =)) hz","Assignment kỹ năng mềm","BaiTap","3"
"bài tập Mạng máy tính về nhà tuần này dài ngoằng","Bài tập mạng my tính","BaiTap","4"
"bài tập Hóa về nhà tuần này dài ngoằng","Bài tập hóa","BaiTap","4"
"bài tập Hóa về nhà tuần này dài ngoằng 😂","Bài tập hóa","BaiTap","4"
"bài tập Mạng máy tính về nhà tuần này dài ngoằng","Bài tập mạng my tính","BaiTap","4"
"ai lom xong assignment Triết chưa cho t copy tẹo =))","Assignment triết","BaiTap","3"
"ai lom xong assignment Triết chưa cho t copy tẹo =))","Assignment triết","BaiTap","3"
"ai lom xong assignment Lu chưa cho t copy tẹo =))","Assignment lý","BaiTap","3"
"bài tập Lập trình về nhà tuần này dài ngoằng","Bài tập lập trình","BaiTap","4"
"boi tập Lu về nho tuần noy doi ngoằng","Bài tập lý","BaiTap","4"
"ai làm xong assignment Cơ sở dữ liệu chưa cho t copy tẹo =)) 👍","Assignment cơ sở dữ liệu","BaiTap","3"
"ai làm xong assignment Toán chưa cho t copy tẹo =)) 😭","Assignment ton","BaiTap","3"
"assignment Lập trình về nhà tuần này dài ngoằng","Bài tập lập trình","BaiTap","4"
"boi tập Lập trenh về nho tuần noy doi ngoằng","Bài tập lập trình","BaiTap","4"
"boi tập Mạng may tinh về nho tuần noy doi ngoằng","Bài tập mạng my tính","BaiTap","4"
"ai làm xong assignment Kỹ năng mềm chưa cho t copy tẹo =)) 🔥","Assignment kỹ năng mềm","BaiTap","3"
"ai làm xong assignment Toán chưa cho t copy tẹo =)) zz","Assignment ton","BaiTap","3"
"bài tập Lý về nhà tuần này dài ngoằng hz","Bài tập lý","BaiTap","4"
"assignment Kỹ năng mềm về nhà tuần này dài ngoằng","Bài tập kỹ năng mềm","BaiTap","4"
"ai làm xong assignment Triết chưa cho t copy tẹo =)) 😂","Assignment triết","BaiTap","3"
"bài tập Lập trình về nhà tuần này dài ngoằng","Bài tập lập trình","BaiTap","4"
"ai làm xong assignment Mạng máy tính chưa cho t copy tẹo =))","Assignment mạng my tính","BaiTap","3"
"assignment Triết về nhà tuần này dài ngoằng","Bài tập triết","BaiTap","4"
"ai làm xong assignment Kỹ năng mềm chưa cho t copy tẹo =))","Assignment kỹ năng mềm","BaiTap","3"
"mai kt 1 tiết Lý sợ toang","Kt 1 tiết lý","KiemTraThuongXuyen","5"
"mai kt 1 tiết Lập trình sợ toang","Kt 1 tiết lập trình","KiemTraThuongXuyen","5"
"pop quiz Lu dễ yn aiểm lắm","Pop quiz lý","KiemTraThuongXuyen","1"
"mai kt 1 tiết Lý sợ toang hz","Kt 1 tiết lý","KiemTraThuongXuyen","5"
"mai kt 1 tiết Kỹ nyng mềm sợ toang","Kt 1 tiết kỹ năng","KiemTraThuongXuyen","5"
"pop quiz Kỹ năng mềm dễ ăn điểm lắm","Pop quiz kỹ năng mềm","KiemTraThuongXuyen","1"
"mai kt 1 tiết Lý sợ toang","Kt 1 tiết lý","KiemTraThuongXuyen","5"
"pop quiz Mạng máy tính dễ ăn điểm lắm","Pop quiz mạng my tính","KiemTraThuongXuyen","1"
"pop quiz Lý dễ ăn điểm lắm zz","Pop quiz lý","KiemTraThuongXuyen","1"
"pop quiz Cơ sở dữ liệu dễ ăn điểm lắm","Pop quiz cơ sở dữ","KiemTraThuongXuyen","1"
"pop quiz Hóa dễ ăn điểm lắm","Pop quiz hóa","KiemTraThuongXuyen","1"
"mai kt 1 tiết Mạng may tinh sợ toang","Kt 1 tiết mạng my","KiemTraThuongXuyen","5"
"pop quiz Toán dễ ăn điểm lắm 🔥","Pop quiz ton","KiemTraThuongXuyen","1"
"mai kt 1 tiết Triết sợ toang","Kt 1 tiết triết","KiemTraThuongXuyen","5"
"pop quiz Toán dễ ăn điểm lắm","Pop quiz ton","KiemTraThuongXuyen","1"
"pop quiz Cơ sở dữ liệu dễ ăn điểm lắm","Pop quiz cơ sở dữ","KiemTraThuongXuyen","1"
"pop quiz Triết dễ ăn điểm lắm","Pop quiz triết","KiemTraThuongXuyen","1"
"pop quiz Hoa dễ yn aiểm lắm","Pop quiz hóa","KiemTraThuongXuyen","1"
"pop quiz Cơ sở dữ liệu dễ ăn điểm lắm","Pop quiz cơ sở dữ","KiemTraThuongXuyen","1"
"pop quiz Toán dễ ăn điểm lắm","Pop quiz ton","KiemTraThuongXuyen","1"
"pop quiz Kỹ năng mềm dễ ăn điểm lắm 😭","Pop quiz kỹ năng mềm","KiemTraThuongXuyen","1"
"mai kt 1 tiết Triết sợ toang 😭","Kt 1 tiết triết","KiemTraThuongXuyen","5"
"mai kt 1 tiết Lập trình sợ toang","Kt 1 tiết lập trình","KiemTraThuongXuyen","5"
"mai kt 1 tiết Cd sở dữ liệu sợ toang","Kt 1 tiết cơ sở","KiemTraThuongXuyen","5"
"mai kt 1 tiết Kỹ năng mềm sợ toang vkl","Kt 1 tiết kỹ năng","KiemTraThuongXuyen","5"
"pop quiz Lập trình dễ ăn điểm lắm","Pop quiz lập trình","KiemTraThuongXuyen","1"
"mai kt 1 tiết Cơ sở dữ liệu sợ toang","Kt 1 tiết cơ sở","KiemTraThuongXuyen","5"
"mai kt 1 tiết Toán sợ toang","Kt 1 tiết ton","KiemTraThuongXuyen","5"
"pop quiz Kỹ năng mềm dễ ăn điểm lắm 😭","Pop quiz kỹ năng mềm","KiemTraThuongXuyen","1"
"mai kt 1 tiết Triết sợ toang 🔥","Kt 1 tiết triết","KiemTraThuongXuyen","5"
"mai kt 1 tiết Cơ sở dữ liệu sợ toang","Kt 1 tiết cơ sở","KiemTraThuongXuyen","5"
"mai kt 1 tiết Triết sợ toang","Kt 1 tiết triết","KiemTraThuongXuyen","5"
"pop quiz Hóa dễ ăn điểm lắm 😭","Pop quiz hóa","KiemTraThuongXuyen","1"
"mai kt 1 tiết Kỹ năng mềm sợ toang 😭","Kt 1 tiết kỹ năng","KiemTraThuongXuyen","5"
"mai kt 1 tiết Triết sợ toang","Kt 1 tiết triết","KiemTraThuongXuyen","5"
"pop quiz Mạng máy tính dễ ăn điểm lắm","Pop quiz mạng my tính","KiemTraThuongXuyen","1"
"pop quiz Toán dễ ăn điểm lắm","Pop quiz ton","KiemTraThuongXuyen","1"
"pop quiz Triết dễ ăn điểm lắm","Pop quiz triết","KiemTraThuongXuyen","1"
"pop quiz Kỹ năng mềm dễ ăn điểm lắm","Pop quiz kỹ năng mềm","KiemTraThuongXuyen","1"
"mai kt 1 tiết Toan sợ toang","Kt 1 tiết ton","KiemTraThuongXuyen","5"
"pop quiz Lý dễ ăn điểm lắm 😂","Pop quiz lý","KiemTraThuongXuyen","1"
"mai kt 1 tiết Mạng máy tính sợ toang 🔥","Kt 1 tiết mạng my","KiemTraThuongXuyen","5"
"pop quiz Triết dễ ăn điểm lắm 😭","Pop quiz triết","KiemTraThuongXuyen","1"
"mai kt 1 tiết Kỹ năng mềm sợ toang","Kt 1 tiết kỹ năng","KiemTraThuongXuyen","5"
"pop quiz Mạng may tinh dễ yn aiểm lắm","Pop quiz mạng my tính","KiemTraThuongXuyen","1"
"mai kt 1 tiết Toán sợ toang","Kt 1 tiết ton","KiemTraThuongXuyen","5"
"pop quiz Lý dễ ăn điểm lắm","Pop quiz lý","KiemTraThuongXuyen","1"
"pop quiz Hóa dễ ăn điểm lắm 👍","Pop quiz hóa","KiemTraThuongXuyen","1"
"pop quiz Lý dễ ăn điểm lắm","Pop quiz lý","KiemTraThuongXuyen","1"
